display,gene,display2,entrez,pathway,therapy_type,description,link
HSPA1A (HSP70),HSPA1A,HSP70,3303,MAPK Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,HSP70 is over expressed in human melanoma and non-small cell lung cancer. It is a caner vaccine target for those cancers.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;HSP70"">HSP70</a>"
TNFRSF14 (HVEM),TNFRSF14,HVEM,8764,Cytokine-cytokine receptor interaction,T-cell targeted immunomodulator,HVEM is a cell membrane receptor and it is used by HSV to enter infected cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;HVEM"">HVEM</a>"
ICOS (ICOS),ICOS,ICOS,29851,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,ICOS is a CD28 family member and works as a co-stimulatory molecule for T cells. It may preferentially activate Th2 cells. It is a popular target for T cells in immuno-oncology.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;ICOS"">ICOS</a>"
IDH1 (IDH1),IDH1,IDH1,3417,Amino Acid metabolism,Targeted by Other Immuno-Oncology Therapy Type,"IDH1 is a an enzyme, whose product plays important role for DNA modification and therefore gene expression. IDH1 mutation is associated with poor prognosis of certain cancers, especially glioblastoma. Recent studies suggest IDH1 modulating drugs may also affect immune cells' function against cancer growth.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IDH1"">IDH1</a>"
IDO1 (IDO),IDO1,IDO,3620,Tryptophan metabolism,T-cell targeted immunomodulator,"IDO (encoded by IDO1 gene) is one the three enzymes that catalyze the first and rate-limiting step of in the kynurenine pathway. Kynurenine is a immunosuppressive molecule that binds to its receptor and induce immunosuppressive function on immune cells, especially T cell. Inhibiting IDO has been tested as a promising strategy to tackle the immunosuppressive microenvironment of tumors.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IDO"">IDO</a>"
IDO2 (IDO2),IDO2,IDO2,169355,Tryptophan metabolism,T-cell targeted immunomodulator,IDO2 is an enzyme with similar sequence and function to IDO but IDO2 has much narrower expression among tissues and much less enzymatic activities.,"<a href=""NA"">NA</a>"
IFNAR1 (IFNAR1),IFNAR1,IFNAR1,3454,JAK/STAT Signaling Pathway,Other immunomodulator,IFNAR1 is one of the two subunits of the receptor for type I interferons. The activation of the receptor leads to the activation of downstream signaling molecules through STAT1/2 pathway.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IFNAR1"">IFNAR1</a>"
IFNB1 (IFNB),IFNB1,IFNB,3456,JAK/STAT Signaling Pathway,Other immunomodulator,"Interferon beta is the cytokine that binds to interferon receptor. It has 2 isoforms, interferon beta 1 and 2.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IFNB"">IFNB</a>"
IFNAR2 (IFNAR2),IFNAR2,IFNAR2,3455,JAK/STAT Signaling Pathway,Other immunomodulator,IFNAR2 is one of the two subunits of the receptor for type I interferons. The activation of the receptor leads to the activation of downstream signaling molecules through STAT1/2 pathway.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IFNAR2"">IFNAR2</a>"
IFNGR1 (IFNGR1),IFNGR1,IFNGR1,3459,JAK/STAT Signaling Pathway,Other immunomodulator,IFNGR1 is one of the two subunits of interferon-gamma receptor. The activation of the receptor leads to the activation of downstream JAK/STAT pathway that promotes inflammatory responses.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IFNGR1"">IFNGR1</a>"
IFNGR2 (IFNGR2),IFNGR2,IFNGR2,3460,JAK/STAT Signaling Pathway,Other immunomodulator,IFNGR2 is one of the two subunits of interferon-gamma receptor. The activation of the receptor leads to the activation of downstream JAK/STAT pathway that promotes inflammatory responses.,"<a href=""NA"">NA</a>"
IGF1 (IGF1),IGF1,IGF1,3479,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,IGF1 is a hormone that promotes cell growth. Its levels are elevated in certain tumors and reducing its levels is a target for cancer therapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IGF1"">IGF1</a>"
IGF1R (IGF1R),IGF1R,IGF1R,3480,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,"IGF1R is the receptor for IGF1, and this hormone receptor promote the cancer cell growth and anti-apoptosis function. It is a target for cancer therapy.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IGF1R"">IGF1R</a>"
IGF2 (IGF2),IGF2,IGF2,3481,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,IGF2 is a hormone that promotes cell growth. It is also highly expressed in certain cancers and reducing its levels is a strategy for cancer therapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IGF2"">IGF2</a>"
IGFBP2 (IGFBP2),IGFBP2,IGFBP2,3485,Myometrial Relaxation and Contraction Pathways,Targeted by Other Immuno-Oncology Therapy Type,IGFBP2 is highly expressed in ovarian cancer cells and is a target for cancer vaccine.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IGFBP2"">IGFBP2</a>"
IL10 (IL10),IL10,IL10,3586,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,IL-10 is traditionally believed to be an immunosuppressive cytokine that inhibits JAK/STAT pathway. Recent studies suggest IL-10 can also elevate the anti-tumor immunity through the interferon-gamma and CD8+ T cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IL10"">IL10</a>"
IL10RA (IL10RA),IL10RA,IL10RA,3587,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"IL10RA is a receptor for interleukin 10. This protein is structurally related to interferon receptors. It has been shown to mediate the immunosuppressive signal of interleukin 10, and thus inhibits the synthesis of proinflammatory cytokines.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL10RA"">IL10RA</a>"
IL12A (IL12),IL12A,IL12,3592,Toll-like Receptor Signaling Pathway,T-cell targeted immunomodulator,IL12 is cytokine that help the differentiation of T cells to Th1 cells. It also have other functions to promote the growth of other immune cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IL12"">IL12</a>"
IL12RB1 (IL12RB1),IL12RB1,IL12RB1,3594,Toll-like Receptor Signaling Pathway,T-cell targeted immunomodulator,IL12RB1 encodes the beta 1 subunit of IL12R. The two units together form the functional receptor and its activation leads to the downstream signal activation.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL12RB1"">IL12RB1</a>"
IL13 (IL13),IL13,IL13,3596,Cytokine-cytokine receptor interaction,Other immunomodulator,"IL13 is reported to have similar function to IL-4. It mainly involves in immune response to parasite infection. However, recent studies show that extrinsic expression of IL-13 may enhance anti-tumor immunity.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IL13"">IL13</a>"
IL13RA1 (IL13RA1),IL13RA1,IL13RA1,3597,JAK/STAT Signaling Pathway,Other immunomodulator,IL13RA1 is the subunit of IL13 receptor.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IL13RA1"">IL13RA1</a>"
IL13RA2 (IL13RA2),IL13RA2,IL13RA2,3598,Cytokine-cytokine receptor interaction,Other immunomodulator,"IL13RA2 binds much stronger to IL13 than IL13 receptor itself, and it works as a negative regulator of IL13. It is highly expressed in certain tumors, especially in glioblastoma and therefore an attractive target.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IL13RA2"">IL13RA2</a>"
IL15 (IL15),IL15,IL15,3600,Cytokine-cytokine receptor interaction,Other immunomodulator,IL15 is secreted by mononuclear phagocytes and its expression activates innate immunity against viral infection. The cytokine is reported to be involved in T-cell lymphoma and therefore a target for this disease.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IL15"">IL15</a>"
IL17A (IL17A),IL17A,IL17A,3605,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,IL17A is one subtype of IL17 cytokine and it induces a various of inflammatory responses.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL17A"">IL17A</a>"
IL17B (IL17B),IL17B,IL17B,27190,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,IL17B is one subtype of IL17 cytokine and it induces a various of inflammatory responses.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL17B"">IL17B</a>"
IL1B (IL1B),IL1B,IL1B,3553,IL-1 signaling pathway,Other immunomodulator,Interleukin 1 beta is a cytokine that involves in autoimmune disease.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IL1B"">IL1B</a>"
IL1R1 (IL1R1),IL1R1,IL1R1,3554,IL-1 signaling pathway,Other immunomodulator,IL1R1 is the receptor for IL1 alpha and IL1 beta.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL1R1"">IL1R1</a>"
IL1RAP (IL1R3),IL1RAP,IL1R3,3556,IL-1 signaling pathway,T-cell targeted immunomodulator,IL1R3 is an accessory protein to IL1 receptor.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL1R3"">IL1R3</a>"
IL21R (IL21R),IL21R,IL21R,50615,JAK/STAT Signaling Pathway,T-cell targeted immunomodulator,IL21R is the receptor for cytokine IL21.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IL21R"">IL21R</a>"
IL23R (IL23R),IL23R,IL23R,149233,JAK/STAT Signaling Pathway,T-cell targeted immunomodulator,"IL23R is the receptor for cytokine IL23. Engagement of IL23 leads to the activation of JAK/STAT pathway, which promotes immune cell activation and proliferation.","<a href=""NA"">NA</a>"
IL2RB (IL2RB),IL2RB,IL2RB,3560,Inflammatory Response Pathway,T-cell targeted immunomodulator,IL2RB is a subunit of IL-2 receptor.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL2RB"">IL2RB</a>"
IL1F9 (IL36G),IL1F9,IL36G,56300,Cytokine-cytokine receptor interaction,Other immunomodulator,IL36-gamma binds to its receptor and activate immune cell functions.,"<a href=""NA"">NA</a>"
IL6 (IL6),IL6,IL6,3569,Toll-like Receptor Signaling Pathway,Other immunomodulator,IL6 is secreted by T cells and macrophages and it induces immune responses. It is the major cytokine that is responsible for the cytokine release syndrome accompanying CAR-T therapies for blood cancer.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;IL6"">IL6</a>"
IL6R (IL6R),IL6R,IL6R,3570,Toll-like Receptor Signaling Pathway,T-cell targeted immunomodulator,IL6R is the receptor for IL6.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL6R"">IL6R</a>"
IL8 (IL8),IL8,IL8,3576,Toll-like Receptor Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"IL8 is the ligand for CXCR1 and CXCR2, and it is a chemokine that helps the migration of neutrophils. As neutrophils generally promote tumor growth, inhibition of IL8 may reduce neutrophil migration into tumor and therefore reduce tumor growth.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL8"">IL8</a>"
IL9R (IL9R),IL9R,IL9R,3581,Toll-like Receptor Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,IL9R is the receptor for IL9.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL9R"">IL9R</a>"
ITGB7 (Integrin beta-7),ITGB7,Integrin beta-7,3695,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,Integrin beta-7 is highly expressed by multiple myeloma cells and is a target for this disease.,"<a href=""NA"">NA</a>"
IRAK1 (IRAK1),IRAK1,IRAK1,3654,Toll-like Receptor Signaling Pathway,Other immunomodulator,"IRAK1 is associated with IL-1 receptor and the binding of IL1 to IL1R leads to the activation of this kinase, which initiates subsequent signaling pathway within the cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IRAK1"">IRAK1</a>"
IRAK4 (IRAK4),IRAK4,IRAK4,51135,Toll-like Receptor Signaling Pathway,Other immunomodulator,IRAK4 is a protein kinase involves in toll-like receptors and T-cell receptor. IRAK4 involves in inflammatory disease and certain types of lymphoma.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IRAK4"">IRAK4</a>"
ITGB5 (ITGB5),ITGB5,ITGB5,3693,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,ITGB5 is over expressed in glioblastoma and therefore is a target for delivery of therapies that are designed to treat this disease.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ITGB5"">ITGB5</a>"
JAK1 (JAK1),JAK1,JAK1,3716,JAK/STAT Signaling Pathway,T-cell targeted immunomodulator,JAK1 is a member of the JAK family. JAK1 interacts with the common gamma chain of type I cytokine receptors. JAK1 relies the signal from those receptors to the downstream signal molecules.,"<a href=""NA"">NA</a>"
JAK2 (JAK2),JAK2,JAK2,3717,JAK/STAT Signaling Pathway,T-cell targeted immunomodulator,"JAK2 is a member of the JAK family. JAK1 relies signal from the type II cytokine receptors, GM-CSF receptor family, and gp130 receptor family and the single-chain receptors. JAK2 relies the signal from those receptors to the downstream signal molecules.","<a href=""NA"">NA</a>"
JAK3 (JAK3),JAK3,JAK3,3718,JAK/STAT Signaling Pathway,T-cell targeted immunomodulator,JAK3 involves in the receptor signaling mediated by the common gamma chain of type I receptors.,"<a href=""NA"">NA</a>"
KIF20A (KIF20A),KIF20A,KIF20A,10112,Antigen,Targeted by Other Immuno-Oncology Therapy Type,KIF20A was found to be highly expressed in pancreatic cancer and is a target of cancer vaccine for this cancer type.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;KIF20A"">KIF20A</a>"
KIR2DL1 (KIR2DL1),KIR2DL1,KIR2DL1,3802,Adaptive Immune System,Other immunomodulator,"KIR2DL1 is expressed by natural killer cells and certain subtypes of T cells, and its engagement leads to inhibitory signal downstream.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;KIR2DL1"">KIR2DL1</a>"
KIR3DL2 (KIR2DL2),KIR3DL2,KIR2DL2,3812,Adaptive Immune System,Other immunomodulator,"KIR2DL2 is expressed by natural killer cells and certain subtypes of T cell, and its engagement leads to inhibitory signal downstream.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;KIR2DL2"">KIR2DL2</a>"
KIR3DL3 (KIR2DL3),KIR3DL3,KIR2DL3,115653,Adaptive Immune System,Other immunomodulator,"KIR2DL3 is expressed by natural killer cells and certain subtypes of T cell, and its engagement leads to inhibitory signal downstream.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;KIR2DL3"">KIR2DL3</a>"
KRAS (KRAS),KRAS,KRAS,3845,MAPK Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"KRAS is a member of the RAS family, and it plays essential role in many types of cancer. KRAS mutation is reported to be the driver gene mutation in a large number of cancer cases. Therapies against particular mutations of KRAS are being developed.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;KRAS"">KRAS</a>"
LAG3 (LAG-3),LAG3,LAG-3,3902,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"LAG-3 binds to MHCII, which is main binding partner of CD4. By hijacking MHCII from CD4, LAG-3 negatively regulate the activation of CD4+ T cell's TCR signaling pathway. LAG-3 is reported to help maintain CD8 T cell function too. LAG-3 is an immune checkpoint molecule.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;LAG-3"">LAG-3</a>"
NR1H3 (LXRA),NR1H3,LXRA,10062,Nuclear Receptors,Other immunomodulator,"LXRA and LXRB, two isoforms of LXR, are key regulator of macrophage function. Activation of LXR educate macrophages to adopt an anti-inflammatory phenotype.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;LXRA"">LXRA</a>"
NR1H2 (LXRB),NR1H2,LXRB,7376,Nuclear Receptors,Other immunomodulator,"LXRA and LXRB, two isoforms of LXR, are key regulator of macrophage function. Activation of LXR educate macrophages to adopt an anti-inflammatory phenotype.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;LXRB"">LXRB</a>"
MAGEA1 (MAGE-A1),MAGEA1,MAGE-A1,4100,Antigen,Targeted by Other Immuno-Oncology Therapy Type,MAGE-A1 is a member of the MAGE family and it is highly expressed in melanoma and a few other cancer types.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;MAGE-A1"">MAGE-A1</a>"
MAGEA10 (MAGE-A10),MAGEA10,MAGE-A10,4109,Antigen,Targeted by Other Immuno-Oncology Therapy Type,MAGE-A10 is a member of the MAGE family and it is highly expressed in melanoma and a few other cancer types.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;MAGE-A10"">MAGE-A10</a>"
MAGEA3 (MAGE-A3),MAGEA3,MAGE-A3,4102,Antigen,Targeted by Other Immuno-Oncology Therapy Type,MAGE-A3 is a member of the MAGE family and it is highly expressed in melanoma and a few other cancer types.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;MAGE-A3"">MAGE-A3</a>"
MAGEA4 (MAGE-A4),MAGEA4,MAGE-A4,4103,Antigen,Targeted by Other Immuno-Oncology Therapy Type,MAGE-A4 is a member of the MAGE family and it is highly expressed in melanoma and a few other cancer types.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;MAGE-A4"">MAGE-A4</a>"
MAGEC2 (MAGE-C2),MAGEC2,MAGE-C2,51438,Antigen,Targeted by Other Immuno-Oncology Therapy Type,"MAGE-C2 is a member of the MAGEC gene family. It is not expressed in normal tissues, except for testis, and is expressed in tumors of various histological types.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;MAGE-C2"">MAGE-C2</a>"
SCGB2A2 (Mammaglobin A),SCGB2A2,Mammaglobin A,4250,Antigen,Targeted by Other Immuno-Oncology Therapy Type,Mammaglobin A is highly expressed by certain types of breast cancer and is a target for vaccine against this disease.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;Mammaglobin A"">Mammaglobin A</a>"
MAS1 (Mas receptor),MAS1,Mas receptor,4142,GPCRs,Targeted by Other Immuno-Oncology Therapy Type,Mas receptor (MAS1) is a G-protein coupled receptor. Its ligands include adenine and 8-aminoadenine. It is a target of cancer vaccine.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;Mas receptor"">Mas receptor</a>"
IFIH1 (MDA5),IFIH1,MDA5,64135,RIG-I-like Receptor Signaling,Other immunomodulator,MDA5 recognizes dsDNA and activate innate immune response. Activation of it is believed to enhance the anti-tumor immunity.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;MDA5"">MDA5</a>"
MDM2 (MDM2),MDM2,MDM2,4193,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,"MDM2 is a negative regulator of P53 and it is highly expressed in many tumor types, which is a target for cancer vaccine.","<a href=""NA"">NA</a>"
MERTK (MERTK),MERTK,MERTK,10461,Antigen,Other immunomodulator,MERTK is highly expressed in certain cancer cells and is a target for monoclonal antibody therapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;MERTK"">MERTK</a>"
MSLN (Mesothelin),MSLN,Mesothelin,10232,Antigen,Targeted by Other Immuno-Oncology Therapy Type,"Mesothelin is highly expressed in mesothelial cells, and those cells line the pleura, peritoneum, and pericardium. Mesothelin is a target for mesothelioma and other cancer highly expressing this molecule.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;Mesothelin"">Mesothelin</a>"
MICB (MICB),MICB,MICB,4277,Adaptive Immune System,Other immunomodulator,MICB is related to MHC I and shares similar structure with MHC I. MICA is a stress-induced ligand for NKG2D and is broadly recognized by NK cells.,"<a href=""NA"">NA</a>"
MIF (MIF),MIF,MIF,4282,Cytokine-cytokine receptor interaction,Other immunomodulator,MIF is an inflammatory cytokine and it binds to CD74 and induces acute inflammatory responses.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;MIF"">MIF</a>"
MLANA (MLANA),MLANA,MLANA,2315,Antigen,Targeted by Other Immuno-Oncology Therapy Type,MLANA is found on the surface of melanocytes. It is highly expressed by melanoma cells and therefore a target for this disease.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;MLANA"">MLANA</a>"
MMP11 (MMP-11),MMP11,MMP-11,4320,Matrix Metalloproteinases,Targeted by Other Immuno-Oncology Therapy Type,"MMP-11 is a member of metalloproteinase family. MMP-11 degrades extracellular matrix. Due to its high expression in tumors, it is a target for cancer vaccine.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;MMP-11"">MMP-11</a>"
ABCC1 (MRP1),ABCC1,MRP1,4363,ABC-family proteins mediated transport,Targeted by Other Immuno-Oncology Therapy Type,MRP1 is a membrane transporter and it allows tumor cells to transport many chemotherapeutic compounds out of cancer cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;MRP1"">MRP1</a>"
MUC1 (MUC1),MUC1,MUC1,4582,Interleukin-4 and Interleukin-13 signaling,Targeted by Other Immuno-Oncology Therapy Type,MUC1 is a glycoprotein and it lines the apical surface of epithelial cells in many tissue. MUC1 is found to highly expressed in highly expressed in many solid tumors and is a target for cancer vaccines and cell therapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;MUC1"">MUC1</a>"
MUC16 (MUC16),MUC16,MUC16,94025,Antigen,Targeted by Other Immuno-Oncology Therapy Type,MUC16 is biomarker for ovarian cancer due to its high expression. MUC16 is also a target for ovarian cancer.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;MUC16"">MUC16</a>"
MYB (MYB),MYB,MYB,4602,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,MYB is a transcription factor. It is highly expressed in colorectal cancer and adenoid cystic carcinoma. It is a target of cancer vaccine against these cancers.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;MYB"">MYB</a>"
MYBL2 (MYBL2),MYBL2,MYBL2,4605,EGF-EGFR Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,MYBL2 is a transcription factor and is highly expressed in certain tumor cells. Oncolytic virus has been designed to use MYBL2 as the transcription factor to promote the gene expression of oncolytic genes.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;MYBL2"">MYBL2</a>"
MYCN (N-Myc),MYCN,N-Myc,4613,Transcriptional misregulation in cancer,Targeted by Other Immuno-Oncology Therapy Type,N-Myc is a transcription factor and amplification of N-Myc leads to tumorigenesis. Peptides derived from N-Myc are being used as cancer vaccines.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;N-Myc"">N-Myc</a>"
KLRC1 (NKG2A),KLRC1,NKG2A,3821,Adaptive Immune System,Other immunomodulator,NKG2A dimerizes with CD94 to form an inhibitory receptor on NK cell surface.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;NKG2A"">NKG2A</a>"
KLRK1 (NKG2D),KLRK1,NKG2D,22914,Adaptive Immune System,Other immunomodulator,NKG2D forms a homodimer and serves as an activating receptor for NK cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;NKG2D"">NKG2D</a>"
NCR1 (NKp46),NCR1,NKp46,9437,Adaptive Immune System,Other immunomodulator,NKp46 is a cell surface marker for NK cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;NKp46"">NKp46</a>"
NLRP3 (NLRP3),NLRP3,NLRP3,114548,NOD receptor signaling pathway,Other immunomodulator,NLRP3 is predominantly expressed by macrophages and it is a component of inflammasome. Activation of inflammasome through NLRP3 is believed to promote the anti-tumor immunity of macrophages.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;NLRP3"">NLRP3</a>"
NR2F6 (NR2F6),NR2F6,NR2F6,2063,IL-6 signaling pathway,Other immunomodulator,"NR2F5 is found to over expressed in leukemia, ovarian cancer, and endometrial cancer. Strategy to silence its expression in stem cell is being pursued as cancer treatment.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;NR2F6"">NR2F6</a>"
CTAG1B (NY-ESO-1),CTAG1B,NY-ESO-1,1485,Antigen,Targeted by Other Immuno-Oncology Therapy Type,NY-ESO-1 is found to highly expressed in melanoma with poor prognosis. It is also found to be highly expressed in many other solid tumors. It is a target for cancer vaccine and cell therapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;NY-ESO-1"">NY-ESO-1</a>"
TNFRSF4 (OX40),TNFRSF4,OX40,7293,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,OX40 is the receptor on T cells and it binds to OX40 ligand. Activation of this receptor improves the survival of activated T cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;OX40"">OX40</a>"
P2RX7 (P2RX7),P2RX7,P2RX7,5027,NOD-like receptor signaling pathway,Other immunomodulator,P2RX7 is found on microglia and macrophages. It plays a role in inflammatory response. Activation of this receptor may increase the anti-tumor immunity.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;P2RX7"">P2RX7</a>"
