Gene,HGNC Symbol,Friendly Name,Entrez ID,Pathway,Therapy Type,Description,IO_target_URL
IGF1R (IGF1R),IGF1R,IGF1R,3480,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,"IGF1R is the receptor for IGF1, and this hormone receptor promote the cancer cell growth and anti-apoptosis function. It is a target for cancer therapy.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IGF1R
IGF2 (IGF2),IGF2,IGF2,3481,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,IGF2 is a hormone that promotes cell growth. It is also highly expressed in certain cancers and reducing its levels is a strategy for cancer therapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IGF2
IGFBP2 (IGFBP2),IGFBP2,IGFBP2,3485,Myometrial Relaxation and Contraction Pathways,Targeted by Other Immuno-Oncology Therapy Type,IGFBP2 is highly expressed in ovarian cancer cells and is a target for cancer vaccine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IGFBP2
IL10 (IL10),IL10,IL10,3586,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,IL-10 is traditionally believed to be an immunosuppressive cytokine that inhibits JAK/STAT pathway. Recent studies suggest IL-10 can also elevate the anti-tumor immunity through the interferon-gamma and CD8+ T cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IL10
IL10RA (IL10RA),IL10RA,IL10RA,3587,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"IL10RA is a receptor for interleukin 10. This protein is structurally related to interferon receptors. It has been shown to mediate the immunosuppressive signal of interleukin 10, and thus inhibits the synthesis of proinflammatory cytokines.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL10RA
IL12A (IL12),IL12A,IL12,3592,Toll-like Receptor Signaling Pathway,T-cell targeted immunomodulator,IL12 is cytokine that help the differentiation of T cells to Th1 cells. It also have other functions to promote the growth of other immune cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IL12
IL12RB1 (IL12RB1),IL12RB1,IL12RB1,3594,Toll-like Receptor Signaling Pathway,T-cell targeted immunomodulator,IL12RB1 encodes the beta 1 subunit of IL12R. The two units together form the functional receptor and its activation leads to the downstream signal activation.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL12RB1
IL13 (IL13),IL13,IL13,3596,Cytokine-cytokine receptor interaction,Other immunomodulator,"IL13 is reported to have similar function to IL-4. It mainly involves in immune response to parasite infection. However, recent studies show that extrinsic expression of IL-13 may enhance anti-tumor immunity.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IL13
IL13RA1 (IL13RA1),IL13RA1,IL13RA1,3597,JAK/STAT Signaling Pathway,Other immunomodulator,IL13RA1 is the subunit of IL13 receptor.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IL13RA1
IL13RA2 (IL13RA2),IL13RA2,IL13RA2,3598,Cytokine-cytokine receptor interaction,Other immunomodulator,"IL13RA2 binds much stronger to IL13 than IL13 receptor itself, and it works as a negative regulator of IL13. It is highly expressed in certain tumors, especially in glioblastoma and therefore an attractive target.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IL13RA2
IL15 (IL15),IL15,IL15,3600,Cytokine-cytokine receptor interaction,Other immunomodulator,IL15 is secreted by mononuclear phagocytes and its expression activates innate immunity against viral infection. The cytokine is reported to be involved in T-cell lymphoma and therefore a target for this disease.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IL15
IL17A (IL17A),IL17A,IL17A,3605,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,IL17A is one subtype of IL17 cytokine and it induces a various of inflammatory responses.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL17A
IL17B (IL17B),IL17B,IL17B,27190,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,IL17B is one subtype of IL17 cytokine and it induces a various of inflammatory responses.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL17B
IL1B (IL1B),IL1B,IL1B,3553,IL-1 signaling pathway,Other immunomodulator,Interleukin 1 beta is a cytokine that involves in autoimmune disease.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IL1B
IL1R1 (IL1R1),IL1R1,IL1R1,3554,IL-1 signaling pathway,Other immunomodulator,IL1R1 is the receptor for IL1 alpha and IL1 beta.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL1R1
IL1RAP (IL1R3),IL1RAP,IL1R3,3556,IL-1 signaling pathway,T-cell targeted immunomodulator,IL1R3 is an accessory protein to IL1 receptor.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL1R3
IL21R (IL21R),IL21R,IL21R,50615,JAK/STAT Signaling Pathway,T-cell targeted immunomodulator,IL21R is the receptor for cytokine IL21.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IL21R
IL23R (IL23R),IL23R,IL23R,149233,JAK/STAT Signaling Pathway,T-cell targeted immunomodulator,"IL23R is the receptor for cytokine IL23. Engagement of IL23 leads to the activation of JAK/STAT pathway, which promotes immune cell activation and proliferation.",
IL2RB (IL2RB),IL2RB,IL2RB,3560,Inflammatory Response Pathway,T-cell targeted immunomodulator,IL2RB is a subunit of IL-2 receptor.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL2RB
IL1F9 (IL36G),IL1F9,IL36G,56300,Cytokine-cytokine receptor interaction,Other immunomodulator,IL36-gamma binds to its receptor and activate immune cell functions.,
IL6 (IL6),IL6,IL6,3569,Toll-like Receptor Signaling Pathway,Other immunomodulator,IL6 is secreted by T cells and macrophages and it induces immune responses. It is the major cytokine that is responsible for the cytokine release syndrome accompanying CAR-T therapies for blood cancer.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IL6
IL6R (IL6R),IL6R,IL6R,3570,Toll-like Receptor Signaling Pathway,T-cell targeted immunomodulator,IL6R is the receptor for IL6.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL6R
IL8 (IL8),IL8,IL8,3576,Toll-like Receptor Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"IL8 is the ligand for CXCR1 and CXCR2, and it is a chemokine that helps the migration of neutrophils. As neutrophils generally promote tumor growth, inhibition of IL8 may reduce neutrophil migration into tumor and therefore reduce tumor growth.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL8
IL9R (IL9R),IL9R,IL9R,3581,Toll-like Receptor Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,IL9R is the receptor for IL9.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IL9R
ITGB7 (Integrin beta-7),ITGB7,Integrin beta-7,3695,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,Integrin beta-7 is highly expressed by multiple myeloma cells and is a target for this disease.,
IRAK1 (IRAK1),IRAK1,IRAK1,3654,Toll-like Receptor Signaling Pathway,Other immunomodulator,"IRAK1 is associated with IL-1 receptor and the binding of IL1 to IL1R leads to the activation of this kinase, which initiates subsequent signaling pathway within the cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IRAK1
IRAK4 (IRAK4),IRAK4,IRAK4,51135,Toll-like Receptor Signaling Pathway,Other immunomodulator,IRAK4 is a protein kinase involves in toll-like receptors and T-cell receptor. IRAK4 involves in inflammatory disease and certain types of lymphoma.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IRAK4
ITGB5 (ITGB5),ITGB5,ITGB5,3693,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,ITGB5 is over expressed in glioblastoma and therefore is a target for delivery of therapies that are designed to treat this disease.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;ITGB5
JAK1 (JAK1),JAK1,JAK1,3716,JAK/STAT Signaling Pathway,T-cell targeted immunomodulator,JAK1 is a member of the JAK family. JAK1 interacts with the common gamma chain of type I cytokine receptors. JAK1 relies the signal from those receptors to the downstream signal molecules.,
JAK2 (JAK2),JAK2,JAK2,3717,JAK/STAT Signaling Pathway,T-cell targeted immunomodulator,"JAK2 is a member of the JAK family. JAK1 relies signal from the type II cytokine receptors, GM-CSF receptor family, and gp130 receptor family and the single-chain receptors. JAK2 relies the signal from those receptors to the downstream signal molecules.",
JAK3 (JAK3),JAK3,JAK3,3718,JAK/STAT Signaling Pathway,T-cell targeted immunomodulator,JAK3 involves in the receptor signaling mediated by the common gamma chain of type I receptors.,
KIF20A (KIF20A),KIF20A,KIF20A,10112,Antigen,Targeted by Other Immuno-Oncology Therapy Type,KIF20A was found to be highly expressed in pancreatic cancer and is a target of cancer vaccine for this cancer type.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;KIF20A
KIR2DL1 (KIR2DL1),KIR2DL1,KIR2DL1,3802,Adaptive Immune System,Other immunomodulator,"KIR2DL1 is expressed by natural killer cells and certain subtypes of T cells, and its engagement leads to inhibitory signal downstream.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;KIR2DL1
KIR3DL2 (KIR2DL2),KIR3DL2,KIR2DL2,3812,Adaptive Immune System,Other immunomodulator,"KIR2DL2 is expressed by natural killer cells and certain subtypes of T cell, and its engagement leads to inhibitory signal downstream.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;KIR2DL2
KIR3DL3 (KIR2DL3),KIR3DL3,KIR2DL3,115653,Adaptive Immune System,Other immunomodulator,"KIR2DL3 is expressed by natural killer cells and certain subtypes of T cell, and its engagement leads to inhibitory signal downstream.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;KIR2DL3
KRAS (KRAS),KRAS,KRAS,3845,MAPK Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"KRAS is a member of the RAS family, and it plays essential role in many types of cancer. KRAS mutation is reported to be the driver gene mutation in a large number of cancer cases. Therapies against particular mutations of KRAS are being developed.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;KRAS
LAG3 (LAG-3),LAG3,LAG-3,3902,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"LAG-3 binds to MHCII, which is main binding partner of CD4. By hijacking MHCII from CD4, LAG-3 negatively regulate the activation of CD4+ T cell's TCR signaling pathway. LAG-3 is reported to help maintain CD8 T cell function too. LAG-3 is an immune checkpoint molecule.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;LAG-3
NR1H3 (LXRA),NR1H3,LXRA,10062,Nuclear Receptors,Other immunomodulator,"LXRA and LXRB, two isoforms of LXR, are key regulator of macrophage function. Activation of LXR educate macrophages to adopt an anti-inflammatory phenotype.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;LXRA
NR1H2 (LXRB),NR1H2,LXRB,7376,Nuclear Receptors,Other immunomodulator,"LXRA and LXRB, two isoforms of LXR, are key regulator of macrophage function. Activation of LXR educate macrophages to adopt an anti-inflammatory phenotype.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;LXRB
MAGEA1 (MAGE-A1),MAGEA1,MAGE-A1,4100,Antigen,Targeted by Other Immuno-Oncology Therapy Type,MAGE-A1 is a member of the MAGE family and it is highly expressed in melanoma and a few other cancer types.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;MAGE-A1
MAGEA10 (MAGE-A10),MAGEA10,MAGE-A10,4109,Antigen,Targeted by Other Immuno-Oncology Therapy Type,MAGE-A10 is a member of the MAGE family and it is highly expressed in melanoma and a few other cancer types.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;MAGE-A10
MAGEA3 (MAGE-A3),MAGEA3,MAGE-A3,4102,Antigen,Targeted by Other Immuno-Oncology Therapy Type,MAGE-A3 is a member of the MAGE family and it is highly expressed in melanoma and a few other cancer types.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;MAGE-A3
MAGEA4 (MAGE-A4),MAGEA4,MAGE-A4,4103,Antigen,Targeted by Other Immuno-Oncology Therapy Type,MAGE-A4 is a member of the MAGE family and it is highly expressed in melanoma and a few other cancer types.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;MAGE-A4
MAGEC2 (MAGE-C2),MAGEC2,MAGE-C2,51438,Antigen,Targeted by Other Immuno-Oncology Therapy Type,"MAGE-C2 is a member of the MAGEC gene family. It is not expressed in normal tissues, except for testis, and is expressed in tumors of various histological types.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;MAGE-C2
SCGB2A2 (Mammaglobin A),SCGB2A2,Mammaglobin A,4250,Antigen,Targeted by Other Immuno-Oncology Therapy Type,Mammaglobin A is highly expressed by certain types of breast cancer and is a target for vaccine against this disease.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;Mammaglobin A
MAS1 (Mas receptor),MAS1,Mas receptor,4142,GPCRs,Targeted by Other Immuno-Oncology Therapy Type,Mas receptor (MAS1) is a G-protein coupled receptor. Its ligands include adenine and 8-aminoadenine. It is a target of cancer vaccine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;Mas receptor
IFIH1 (MDA5),IFIH1,MDA5,64135,RIG-I-like Receptor Signaling,Other immunomodulator,MDA5 recognizes dsDNA and activate innate immune response. Activation of it is believed to enhance the anti-tumor immunity.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;MDA5
MDM2 (MDM2),MDM2,MDM2,4193,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,"MDM2 is a negative regulator of P53 and it is highly expressed in many tumor types, which is a target for cancer vaccine.",
MERTK (MERTK),MERTK,MERTK,10461,Antigen,Other immunomodulator,MERTK is highly expressed in certain cancer cells and is a target for monoclonal antibody therapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;MERTK
MSLN (Mesothelin),MSLN,Mesothelin,10232,Antigen,Targeted by Other Immuno-Oncology Therapy Type,"Mesothelin is highly expressed in mesothelial cells, and those cells line the pleura, peritoneum, and pericardium. Mesothelin is a target for mesothelioma and other cancer highly expressing this molecule.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;Mesothelin
MICB (MICB),MICB,MICB,4277,Adaptive Immune System,Other immunomodulator,MICB is related to MHC I and shares similar structure with MHC I. MICA is a stress-induced ligand for NKG2D and is broadly recognized by NK cells.,
MIF (MIF),MIF,MIF,4282,Cytokine-cytokine receptor interaction,Other immunomodulator,MIF is an inflammatory cytokine and it binds to CD74 and induces acute inflammatory responses.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;MIF
MLANA (MLANA),MLANA,MLANA,2315,Antigen,Targeted by Other Immuno-Oncology Therapy Type,MLANA is found on the surface of melanocytes. It is highly expressed by melanoma cells and therefore a target for this disease.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;MLANA
MMP11 (MMP-11),MMP11,MMP-11,4320,Matrix Metalloproteinases,Targeted by Other Immuno-Oncology Therapy Type,"MMP-11 is a member of metalloproteinase family. MMP-11 degrades extracellular matrix. Due to its high expression in tumors, it is a target for cancer vaccine.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;MMP-11
ABCC1 (MRP1),ABCC1,MRP1,4363,ABC-family proteins mediated transport,Targeted by Other Immuno-Oncology Therapy Type,MRP1 is a membrane transporter and it allows tumor cells to transport many chemotherapeutic compounds out of cancer cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;MRP1
MUC1 (MUC1),MUC1,MUC1,4582,Interleukin-4 and Interleukin-13 signaling,Targeted by Other Immuno-Oncology Therapy Type,MUC1 is a glycoprotein and it lines the apical surface of epithelial cells in many tissue. MUC1 is found to highly expressed in highly expressed in many solid tumors and is a target for cancer vaccines and cell therapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;MUC1
MUC16 (MUC16),MUC16,MUC16,94025,Antigen,Targeted by Other Immuno-Oncology Therapy Type,MUC16 is biomarker for ovarian cancer due to its high expression. MUC16 is also a target for ovarian cancer.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;MUC16
MYB (MYB),MYB,MYB,4602,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,MYB is a transcription factor. It is highly expressed in colorectal cancer and adenoid cystic carcinoma. It is a target of cancer vaccine against these cancers.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;MYB
MYBL2 (MYBL2),MYBL2,MYBL2,4605,EGF-EGFR Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,MYBL2 is a transcription factor and is highly expressed in certain tumor cells. Oncolytic virus has been designed to use MYBL2 as the transcription factor to promote the gene expression of oncolytic genes.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;MYBL2
MYCN (N-Myc),MYCN,N-Myc,4613,Transcriptional misregulation in cancer,Targeted by Other Immuno-Oncology Therapy Type,N-Myc is a transcription factor and amplification of N-Myc leads to tumorigenesis. Peptides derived from N-Myc are being used as cancer vaccines.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;N-Myc
KLRC1 (NKG2A),KLRC1,NKG2A,3821,Adaptive Immune System,Other immunomodulator,NKG2A dimerizes with CD94 to form an inhibitory receptor on NK cell surface.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;NKG2A
KLRK1 (NKG2D),KLRK1,NKG2D,22914,Adaptive Immune System,Other immunomodulator,NKG2D forms a homodimer and serves as an activating receptor for NK cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;NKG2D
NCR1 (NKp46),NCR1,NKp46,9437,Adaptive Immune System,Other immunomodulator,NKp46 is a cell surface marker for NK cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;NKp46
NLRP3 (NLRP3),NLRP3,NLRP3,114548,NOD receptor signaling pathway,Other immunomodulator,NLRP3 is predominantly expressed by macrophages and it is a component of inflammasome. Activation of inflammasome through NLRP3 is believed to promote the anti-tumor immunity of macrophages.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;NLRP3
NR2F6 (NR2F6),NR2F6,NR2F6,2063,IL-6 signaling pathway,Other immunomodulator,"NR2F5 is found to over expressed in leukemia, ovarian cancer, and endometrial cancer. Strategy to silence its expression in stem cell is being pursued as cancer treatment.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;NR2F6
CTAG1B (NY-ESO-1),CTAG1B,NY-ESO-1,1485,Antigen,Targeted by Other Immuno-Oncology Therapy Type,NY-ESO-1 is found to highly expressed in melanoma with poor prognosis. It is also found to be highly expressed in many other solid tumors. It is a target for cancer vaccine and cell therapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;NY-ESO-1
TNFRSF4 (OX40),TNFRSF4,OX40,7293,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,OX40 is the receptor on T cells and it binds to OX40 ligand. Activation of this receptor improves the survival of activated T cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;OX40
P2RX7 (P2RX7),P2RX7,P2RX7,5027,NOD-like receptor signaling pathway,Other immunomodulator,P2RX7 is found on microglia and macrophages. It plays a role in inflammatory response. Activation of this receptor may increase the anti-tumor immunity.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;P2RX7
TP53 (p53),TP53,p53,7157,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,P53 is a tumor suppressor and plays a pivotal role in controlling tumorigenesis. Cancer therapies are being developed to increase or restore the modified function of P53.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;p53
PASD1 (PASD1),PASD1,PASD1,139135,Antigen,Targeted by Other Immuno-Oncology Therapy Type,PASD1 is highly expressed in various cancer types and is a target for cancer vaccine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;PASD1
PTTG1IP (PBF),PTTG1IP,PBF,754,Antigen,Targeted by Other Immuno-Oncology Therapy Type,PBF is found to highly express in pituitary tumors and breast cancer. It is therefore used as a target for cancer vaccines in those tumors.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;PBF
PDCD1 (PD-1),PDCD1,PD-1,5133,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,PD-1 is a immune checkpoint molecule and inhibition of it leads to the anti-tumor immunity of T cells. It is the most important target in cancer immunotherapy as of today and many therapies against it have been approved for cancer.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;PD-1
CD274 (PD-L1),CD274,PD-L1,29126,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"PD-L1 is the major ligand to PD-1 and it is highly expressed by cancer cells and other immune cells, especially macrophages and dendritic cells. Inhibiting PD-L1 is a viable method to unleash the anti-tumor immunity of T cells and a few drugs against this target have been approved.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;PD-L1
PDCD1LG2 (PD-L2),PDCD1LG2,PD-L2,80380,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,PD-L2 is a ligand to PD-1. Its expression is not as wide as PD-L1 and its function in binding PD-1 is not very clear at the moment.,
SILV (PMEL),SILV,PMEL,6490,Antigen,Targeted by Other Immuno-Oncology Therapy Type,PMEL is expressed in melanoma cells. It is a target for cancer vaccine against melanoma.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;PMEL
POTED (POTE),POTED,POTE,317754,Antigen,Targeted by Other Immuno-Oncology Therapy Type,POTE is highly expressed in testis and it is target for cancer of testis origin. It is a target for cancer vaccine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;POTE
PRAME (PRAME),PRAME,PRAME,23532,Antigen,Targeted by Other Immuno-Oncology Therapy Type,"PRAME is predominantly expressed in human melanoma cells but not in normal tissues, except for testis. It is a target for cancer vaccine and cell therapies.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;PRAME
KLK3 (PSA),KLK3,PSA,354,Androgen receptor signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,"PSA is secreted by the epithelial cells of prostate gland. PSA level is elevated in prostate cancer patients, and it is a diagnosis marker for this disease. PSA is also a target for cancer vaccines against prostate cancer.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;PSA
PSCA (PSCA),PSCA,PSCA,8000,Antigen,Targeted by Other Immuno-Oncology Therapy Type,"PSCA is a membrane protein that is highly expressed in prostate, kidney, colon, bladder, placenta, and stomach. It is a target of cell therapies for cancer of those tissue origins.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;PSCA
PVRIG (PVRIG),PVRIG,PVRIG,79037,TIGIT pathway,T-cell targeted immunomodulator,"PVRIG is believed to be a immune checkpoint molecule, and PVRL2 is its ligand. Disruption of this association leads to enhanced T cell immunity against cancer cells and this inhibition increases T cell proliferation.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;PVRIG
RHOC (RhoC),RHOC,RhoC,389,VEGFA-VEGFR2 Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,RhoC is GTPase and it is frequently mutated in cancers. Mutated RhoC is a target for cancer vaccines.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;RhoC
DDX58 (RIG-I),DDX58,RIG-I,23586,RIG-I-like Receptor Signaling,Other immunomodulator,RIG-I is a pattern recognition receptor for viruses. Activation of it leads to inflammatory response and is a target for cancer immunotherapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;RIG-I
ROR1 (ROR1),ROR1,ROR1,4919,Wnt Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,ROR1 is found to highly express in cancer stem cell and play a role in tumor migration and metastasis. It is a cell membrane receptor and therefore a target for cancer cell therapy.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;ROR1
ROR2 (ROR2),ROR2,ROR2,4920,Wnt Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,ROR2 is cell membrane receptor and promotes cell growth of certain cancer cells. It is a target for cancer cell therapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;ROR2
RORC (RORC),RORC,RORC,6097,Nuclear Receptors,Other immunomodulator,RORC is the gene that encodes ROR-gamma. ROR-gamma is an important nuclear receptor that plays important role in assisting CD4+ T cells to differentiating to Th17 cells. Th17 cells generate inflammatory cytokine and enhance anti-tumor immunity.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;RORC
SIM2 (SIM-2),SIM2,SIM-2,6493,Antigen,Targeted by Other Immuno-Oncology Therapy Type,"The short form of SIM2, called SIM2s, has tumor suppressive properties. It is a target of cancer vaccine.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;SIM-2
SIRPA (SIRPA),SIRPA,SIRPA,140885,JAK/STAT Signaling Pathway,Other immunomodulator,"SIRPA is an inhibitory ligand that binds to CD47, the ""do not eat me"" receptor from phagocytes. Binding of SIRPA to CD47 prevents phagocytosis. Blocking of this ligand leads to increased phagocytosis of tumor cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;SIRPA
